TKR,C/P,STRIKE,OPTKR,EXPDAY
AEG,C,4.7,"",2021-07-16
AEG,C,5,AEG   210716C00005000,2021-07-16
AEM,P,60,AEM   210820P00060000,2021-08-20
AEM,P,70.72,"",2021-08-20
AEO,P,28,AEO   210716P00028000,2021-07-16
AEO,P,29,AEO   210716P00029000,2021-07-16
AEO,P,33.58,"",2021-07-16
AEO,P,19,AEO   210820P00019000,2021-08-20
AEO,P,33.58,"",2021-08-20
AEP,C,86.05,"",2021-06-18
AEP,C,95,AEP   210618C00095000,2021-06-18
AEP,P,82.5,AEP   210618P00082500,2021-06-18
AEP,P,86.05,"",2021-06-18
AEP,P,95,AEP   210618P00095000,2021-06-18
AEP,C,86.05,"",2021-08-20
AEP,C,90,AEP   210820C00090000,2021-08-20
AER,C,57.73,"",2021-06-18
AER,C,60,AER   210618C00060000,2021-06-18
AER,P,52.5,AER   210618P00052500,2021-06-18
AER,P,57.73,"",2021-06-18
AER,C,57.73,"",2021-07-16
AER,C,62.5,AER   210716C00062500,2021-07-16
AER,P,37.5,AER   210716P00037500,2021-07-16
AER,P,57.73,"",2021-07-16
AES,C,24.93,"",2021-06-18
AES,C,26,AES   210618C00026000,2021-06-18
AES,C,27,AES   210618C00027000,2021-06-18
AFL,C,55,AFL   210820C00055000,2021-08-20
AFL,C,57.5,"",2021-08-20
AFL,C,57.5,AFL   210820C00057500,2021-08-20
AFL,P,40,AFL   210820P00040000,2021-08-20
AFL,P,57.5,"",2021-08-20
AFRM,C,59.7,"",2021-06-18
AFRM,C,60,AFRM  210618C00060000,2021-06-18
AFRM,C,65,AFRM  210618C00065000,2021-06-18
AFRM,C,70,AFRM  210618C00070000,2021-06-18
AFRM,P,40,AFRM  210618P00040000,2021-06-18
AFRM,P,50,AFRM  210618P00050000,2021-06-18
AFRM,P,55,AFRM  210618P00055000,2021-06-18
AFRM,P,59.7,"",2021-06-18
AGEN,C,4,AGEN  210618C00004000,2021-06-18
AGEN,C,4.05,"",2021-06-18
AGEN,C,5,AGEN  210618C00005000,2021-06-18
AGEN,P,4,AGEN  210618P00004000,2021-06-18
AGEN,P,4.05,"",2021-06-18
AGEN,C,3,AGEN  210820C00003000,2021-08-20
AGEN,C,4.05,"",2021-08-20
AGEN,C,5,AGEN  210820C00005000,2021-08-20
AGEN,C,7,AGEN  210820C00007000,2021-08-20
AGNC,C,18.7,"",2021-06-18
AGNC,C,19,AGNC  210618C00019000,2021-06-18
AGNC,P,14,AGNC  210618P00014000,2021-06-18
AGNC,P,15,AGNC  210618P00015000,2021-06-18
AGNC,P,18,AGNC  210618P00018000,2021-06-18
AGNC,P,18.5,AGNC  210618P00018500,2021-06-18
AGNC,P,18.7,"",2021-06-18
AGNC,P,19,AGNC  210618P00019000,2021-06-18
AGO,C,45,AGO   210716C00045000,2021-07-16
AGO,C,47.42,"",2021-07-16
AGRX,C,1.53,"",2021-06-18
AGRX,C,2.5,AGRX  210618C00002500,2021-06-18
AGRX,C,5,AGRX  210618C00005000,2021-06-18
AGRX,C,7.5,AGRX  210618C00007500,2021-06-18
AGTC,C,4.04,"",2021-06-18
AGTC,C,5,AGTC  210618C00005000,2021-06-18
AGTC,C,4.04,"",2021-07-16
AGTC,C,5,AGTC  210716C00005000,2021-07-16
AGTC,C,7.5,AGTC  210716C00007500,2021-07-16
AGTC,C,10,AGTC  210716C00010000,2021-07-16
AHCO,C,25.82,"",2021-06-18
AHCO,C,30,AHCO  210618C00030000,2021-06-18
AHT,C,2.5,AHT   210618C00002500,2021-06-18
AHT,C,4.99,"",2021-06-18
AHT,C,5,AHT   210618C00005000,2021-06-18
AHT,C,7.5,AHT   210618C00007500,2021-06-18
