TKR,C/P,STRIKE,OPTKR,EXPDAY,lag_1_optkr,lag_1_stk,lag_1_pct_chg,lag_0_optkr,lag_0_stk,lag_0_pct_chg,lead_0_optkr,lead_0_stk,lead_0_pct_chg,lead_1_optkr,lead_1_stk,lead_1_pct_chg
AFRM,C,59.7,"",2021-06-18,AFL   210820P00040000,40,49.25,"",57.5,3.82608695652174,AFRM  210618C00060000,60,-0.499999999999995,AFRM  210618C00065000,65,-8.15384615384615
AFRM,P,59.7,"",2021-06-18,AFRM  210618P00050000,50,19.4,AFRM  210618P00055000,55,8.54545454545455,AGEN  210618C00004000,4,1392.5,"",4.05,1374.07407407407
AGEN,C,4.05,"",2021-06-18,"",59.7,-93.2160804020101,AGEN  210618C00004000,4,1.25,AGEN  210618C00005000,5,-19,AGEN  210618P00004000,4,1.25
AGEN,P,4.05,"",2021-06-18,AGEN  210618C00005000,5,-19,AGEN  210618P00004000,4,1.25,AGEN  210820C00003000,3,35,"",4.05,0
AGEN,C,4.05,"",2021-08-20,"",4.05,0,AGEN  210820C00003000,3,35,AGEN  210820C00005000,5,-19,AGEN  210820C00007000,7,-42.1428571428571
AGNC,C,18.7,"",2021-06-18,AGEN  210820C00005000,5,274,AGEN  210820C00007000,7,167.142857142857,AGNC  210618C00019000,19,-1.57894736842106,AGNC  210618P00014000,14,33.5714285714286
AGNC,P,18.7,"",2021-06-18,AGNC  210618P00018000,18,3.88888888888889,AGNC  210618P00018500,18.5,1.08108108108108,AGNC  210618P00019000,19,-1.57894736842106,AGO   210716C00045000,45,-58.4444444444445
AGO,C,47.42,"",2021-07-16,AGNC  210618P00019000,19,149.578947368421,AGO   210716C00045000,45,5.37777777777778,"",1.53,2999.34640522876,AGRX  210618C00002500,2.5,1796.8
AGRX,C,1.53,"",2021-06-18,AGO   210716C00045000,45,-96.6,"",47.42,-96.7735132855335,AGRX  210618C00002500,2.5,-38.8,AGRX  210618C00005000,5,-69.4
AGTC,C,4.04,"",2021-06-18,AGRX  210618C00005000,5,-19.2,AGRX  210618C00007500,7.5,-46.1333333333333,AGTC  210618C00005000,5,-19.2,"",4.04,0
AGTC,C,4.04,"",2021-07-16,"",4.04,0,AGTC  210618C00005000,5,-19.2,AGTC  210716C00005000,5,-19.2,AGTC  210716C00007500,7.5,-46.1333333333333
AHCO,C,25.82,"",2021-06-18,AGTC  210716C00007500,7.5,244.266666666667,AGTC  210716C00010000,10,158.2,AHCO  210618C00030000,30,-13.9333333333333,AHT   210618C00002500,2.5,932.8
AHT,C,4.99,"",2021-06-18,AHCO  210618C00030000,30,-83.3666666666667,AHT   210618C00002500,2.5,99.6,AHT   210618C00005000,5,-0.199999999999996,AHT   210618C00007500,7.5,-33.4666666666667
AHT,P,4.99,"",2021-06-18,AHT   210618C00010000,10,-50.1,AHT   210618P00002500,2.5,99.6,AHT   210618P00005000,5,-0.199999999999996,AHT   210716C00002500,2.5,99.6
AHT,C,4.99,"",2021-07-16,AHT   210618P00005000,5,-0.199999999999996,AHT   210716C00002500,2.5,99.6,AHT   210716C00005000,5,-0.199999999999996,AHT   210716C00007500,7.5,-33.4666666666667
AHT,P,4.99,"",2021-07-16,AHT   210716C00005000,5,-0.199999999999996,AHT   210716C00007500,7.5,-33.4666666666667,AHT   210716P00005000,5,-0.199999999999996,"",64.55,-92.269558481797
AI,C,64.55,"",2021-06-18,"",4.99,1193.5871743487,AHT   210716P00005000,5,1191,AI    210618C00065000,65,-0.692307692307697,AI    210618C00070000,70,-7.78571428571429
AI,P,64.55,"",2021-06-18,AI    210618P00050000,50,29.1,AI    210618P00060000,60,7.58333333333333,AI    210618P00065000,65,-0.692307692307697,AI    210618P00100000,100,-35.45
AI,C,64.55,"",2021-07-16,AI    210618P00065000,65,-0.692307692307697,AI    210618P00100000,100,-35.45,AI    210716C00075000,75,-13.9333333333333,AI    210716C00100000,100,-35.45
AIG,C,53.42,"",2021-06-18,AIG   210618C00050000,50,6.84,AIG   210618C00052500,52.5,1.75238095238096,"",41.5,28.7228915662651,AIR   210820C00045000,45,18.7111111111111
AIR,C,41.5,"",2021-08-20,AIG   210618C00052500,52.5,-20.952380952381,"",53.42,-22.3137401722201,AIR   210820C00045000,45,-7.77777777777778,AIR   210820C00050000,50,-17
AIV,C,7.17,"",2021-06-18,AIR   210820C00045000,45,-84.0666666666667,AIR   210820C00050000,50,-85.66,AIV   210618C00007500,7.5,-4.4,AIV   210618C00010000,10,-28.3
AKAM,C,116.11,"",2021-06-18,AIV   210618C00010000,10,1061.1,AKAM  210618C00115000,115,0.965217391304347,AKAM  210618P00090000,90,29.0111111111111,AKAM  210618P00095000,95,22.2210526315789
AKAM,P,116.11,"",2021-06-18,AKAM  210618P00090000,90,29.0111111111111,AKAM  210618P00095000,95,22.2210526315789,AKAM  210716P00090000,90,29.0111111111111,"",116.11,0
AKAM,P,116.11,"",2021-07-16,"",116.11,0,AKAM  210716P00090000,90,29.0111111111111,"",3.36,3355.65476190476,AKBA  210618C00003500,3.5,3217.42857142857
AKBA,C,3.36,"",2021-06-18,AKAM  210716P00090000,90,-96.2666666666667,"",116.11,-97.1061924037551,AKBA  210618C00003500,3.5,-4,AKBA  210618P00003000,3,12
AKBA,P,3.36,"",2021-06-18,AKBA  210618C00003500,3.5,-4,AKBA  210618P00003000,3,12,AKBA  210716C00003000,3,12,"",3.36,0
AKBA,C,3.36,"",2021-07-16,"",3.36,0,AKBA  210716C00003000,3,12,AKBA  210716C00004500,4.5,-25.3333333333333,AKBA  210716C00007500,7.5,-55.2
AKBA,P,3.36,"",2021-07-16,AKBA  210716C00007500,7.5,-55.2,AKBA  210716P00003000,3,12,"",10.11,-66.7655786350149,AKTS  210618C00017500,17.5,-80.8
AKTS,C,10.11,"",2021-06-18,AKBA  210716P00003000,3,237,"",3.36,200.892857142857,AKTS  210618C00017500,17.5,-42.2285714285714,"",46.73,-78.3650759683287
AL,P,46.73,"",2021-07-16,"",10.11,362.215628090999,AKTS  210618C00017500,17.5,167.028571428571,AL    210716P00055000,55,-15.0363636363636,"",12.68,268.533123028391
ALDX,C,12.68,"",2021-06-18,"",46.73,-72.8653969612669,AL    210716P00055000,55,-76.9454545454546,ALDX  210618C00015000,15,-15.4666666666667,"",65.48,-80.6353084911423
ALK,C,65.48,"",2021-06-18,"",12.68,416.403785488959,ALDX  210618C00015000,15,336.533333333333,ALK   210618C00075000,75,-12.6933333333333,"",23.07,183.83181621153
ALKS,C,23.07,"",2021-08-20,"",65.48,-64.7678680513134,ALK   210618C00075000,75,-69.24,ALKS  210820C00025000,25,-7.72,ALKS  210820P00020000,20,15.35
ALKS,P,23.07,"",2021-08-20,ALKS  210820C00025000,25,-7.72,ALKS  210820P00020000,20,15.35,"",136.54,-83.1038523509594,ALL   210618C00140000,140,-83.5214285714286
ALL,C,136.54,"",2021-06-18,ALKS  210820P00020000,20,582.7,"",23.07,491.850888599913,ALL   210618C00140000,140,-2.47142857142858,"",18.9,622.433862433862
ALLT,C,18.9,"",2021-06-18,"",136.54,-86.1579024461696,ALL   210618C00140000,140,-86.5,ALLT  210618C00020000,20,-5.50000000000001,ALLY  210618C00050000,50,-62.2
ALLY,C,55.4,"",2021-06-18,ALLY  210618C00050000,50,10.8,ALLY  210618C00055000,55,0.727272727272725,ALLY  210618P00020000,20,177,ALLY  210618P00055000,55,0.727272727272725
ALLY,P,55.4,"",2021-06-18,ALLY  210618P00020000,20,177,ALLY  210618P00055000,55,0.727272727272725,ALLY  210716C00045000,45,23.1111111111111,"",55.4,0
ALLY,C,55.4,"",2021-07-16,"",55.4,0,ALLY  210716C00045000,45,23.1111111111111,"",3.34,1558.68263473054,ALSK  210716C00005000,5,1008
ALSK,C,3.34,"",2021-07-16,ALLY  210716C00045000,45,-92.5777777777778,"",55.4,-93.971119133574,ALSK  210716C00005000,5,-33.2,"",12.97,-74.248265227448
ALT,C,12.97,"",2021-06-18,"",3.34,288.323353293413,ALSK  210716C00005000,5,159.4,ALT   210618C00020000,20,-35.15,"",6.01,115.806988352745
ALTO,C,6.01,"",2021-06-18,"",12.97,-53.6622976098689,ALT   210618C00020000,20,-69.95,ALTO  210618C00007500,7.5,-19.8666666666667,ALTO  210716C00005000,5,20.2
ALTO,C,6.01,"",2021-07-16,ALTO  210716C00005000,5,20.2,ALTO  210716C00006000,6,0.166666666666663,ALTO  210716C00007000,7,-14.1428571428571,ALTO  210716C00008000,8,-24.875
AM,C,9.96,"",2021-06-18,ALTO  210716C00007000,7,42.2857142857143,ALTO  210716C00008000,8,24.5,AM    210618C00010000,10,-0.399999999999992,AM    210618C00012500,12.5,-20.32
AM,P,9.96,"",2021-06-18,AM    210618C00012500,12.5,-20.32,AM    210618P00007500,7.5,32.8,AMAT  210618C00120000,120,-91.7,AMAT  210618C00125000,125,-92.032
AMAT,C,140.01,"",2021-06-18,AMAT  210618C00135000,135,3.7111111111111,AMAT  210618C00140000,140,0.00714285714285065,AMAT  210618C00145000,145,-3.44137931034483,AMAT  210618C00150000,150,-6.66000000000001
